year,number
2016,425
1998,0
1999,239
2000,326
2001,97
2002,304
2003,182
2004,258
2005,59
2006,59
2007,19
2008,63
2009,229
2010,72
2011,129
2012,201
2013,174
2014,197
2015,226
2016,127
2017,355
1998,0
1999,69
2000,81
2001,89
2002,98
2003,108
2004,169
2005,221
2006,104
2007,111
2008,78
2009,164
2010,157
2011,61
2012,112
2013,100
2014,139
2015,148
2016,187
2017,165
1998,0
1999,100
2000,23
2001,39
2002,115
2003,137
2004,225
2005,158
2006,137
2007,137
2008,97
2009,118
2010,149
2011,37
2012,169
2013,158
2014,95
2015,190
2016,143
2017,170
1998,0
1999,97
2000,90
2001,108
2002,230
2003,126
2004,97
2005,126
2006,51
2007,46
2008,72
2009,291
2010,136
2011,23
2012,97
2013,78
2014,129
2015,65
2016,161
2017,59
1998,0
1999,206
2000,127
2001,112
2002,88
2003,74
2004,25
2005,328
2006,99
2007,62
2008,34
2009,927
2010,105
2011,81
2012,157
2013,72
2014,70
2015,58
2016,97
2017,72
1998,82
1999,127
2000,157
2001,249
2002,517
2003,170
2004,394
2005,439
2006,89
2007,141
2008,24
2009,376
2010,149
2011,104
2012,96
2013,35
2014,84
2015,299
2016,120
2017,175
1998,360
1999,1.297
2000,160
2001,591
2002,935
2003,182
2004,529
2005,859
2006,289
2007,197
2008,116
2009,354
2010,589
2011,250
2012,538
2013,201
2014,193
2015,371
2016,687
2017,1.05
1998,228
1999,4.355
2000,530
2001,2.484
2002,3.984
2003,953
2004,1.408
2005,4.484
2006,1.129
2007,1.823
2008,456
2009,816
2010,1.721
2011,552
2012,2.951
2013,677
2014,312
2015,1.293
2016,1.481
2017,1.488
1998,457
1999,2.969
2000,510
2001,1.383
2002,2.252
2003,1.124
2004,2.511
2005,1.87
2006,1.078
2007,4.446
2008,1.62
2009,1.146
2010,1.505
2011,1.072
2012,2.264
2013,1.074
2014,365
2015,1.482
2016,2.383
2017,2.984
1998,576
1999,2.053
2000,657
2001,563
2002,2.173
2003,541
2004,960
2005,647
2006,244
2007,668
2008,432
2009,854
2010,597
2011,276
2012,652
2013,378
2014,581
2015,507
2016,1.2
2017,685
1998,306
1999,1.194
2000,274
2001,220
2002,1.47
2003,380
2004,208
2005,159
2006,83
2007,82
2008,50
2009,439
2010,259
2011,445
2012,115
2013,423
2014,190
2015,276
2016,258
2017,133
1998,100
1999,306
2000,139
2001,143
2002,376
2003,153
2004,110
2005,46
2006,18
2007,15
2008,208
2009,87
2010,276
2011,577
2012,194
2013,195
2014,84
2015,394
2016,123
1998,0
1999,36
2000,24
2001,18
2002,29
2003,37
2004,22
2005,28
2006,109
2007,91
2008,85
2009,74
2010,118
2011,61
2012,75
2013,75
2014,133
2015,147
2016,61
2017,106
1998,0
1999,112
2000,20
2001,39
2002,62
2003,126
2004,29
2005,79
2006,96
2007,71
2008,59
2009,74
2010,155
2011,111
2012,123
2013,143
2014,157
2015,84
2016,207
2017,61
1998,0
1999,13
2000,24
2001,13
2002,62
2003,81
2004,81
2005,107
2006,69
2007,155
2008,61
2009,106
2010,109
2011,67
2012,152
2013,110
2014,77
2015,80
2016,123
2017,105
1998,0
1999,27
2000,49
2001,60
2002,99
2003,215
2004,48
2005,89
2006,50
2007,35
2008,113
2009,26
2010,112
2011,66
2012,180
2013,61
2014,161
2015,109
2016,172
2017,69
1998,0
1999,51
2000,67
2001,83
2002,98
2003,75
2004,79
2005,134
2006,62
2007,124
2008,50
2009,128
2010,179
2011,151
2012,144
2013,150
2014,224
2015,114
2016,186
2017,125
1998,70
1999,132
2000,135
2001,166
2002,207
2003,245
2004,209
2005,246
2006,73
2007,184
2008,48
2009,173
2010,139
2011,304
2012,219
2013,144
2014,376
2015,200
2016,263
2017,360
1998,232
1999,318
2000,345
2001,266
2002,741
2003,407
2004,625
2005,467
2006,336
2007,446
2008,194
2009,477
2010,707
2011,801
2012,669
2013,462
2014,559
2015,288
2016,1.004
2017,610
1998,875
1999,1.19
2000,769
2001,858
2002,2.041
2003,1.955
2004,1.642
2005,1.029
2006,959
2007,2.975
2008,605
2009,685
2010,3.353
2011,2.742
2012,901
2013,911
2014,1.952
2015,1.059
2016,1.433
2017,2.142
1998,1.981
1999,2.686
2000,1.08
2001,1.597
2002,3.1
2003,7.091
2004,4.339
2005,2.047
2006,2.78
2007,5.088
2008,2.552
2009,1.31
2010,5.059
2011,5.978
2012,3.219
2013,1.656
2014,3.454
2015,3.088
2016,2.093
2017,4.697
1998,1.093
1999,1.363
2000,1.954
2001,528
2002,4.788
2003,5.391
2004,2.736
2005,6.546
2006,616
2007,3.467
2008,3.787
2009,1.013
2010,2.048
2011,1.206
2012,3.97
2013,1.221
2014,4.735
2015,3.708
2016,948
2017,3.062
1998,32
1999,271
2000,43
2001,62
2002,417
2003,399
2004,914
2005,422
2006,59
2007,1.305
2008,892
2009,246
2010,82
2011,153
2012,220
2013,277
2014,398
2015,1.453
2016,126
2017,136
1998,21
1999,32
2000,14
2001,44
2002,225
2003,225
2004,125
2005,65
2006,32
2007,95
2008,25
2009,108
2010,105
2011,43
2012,189
2013,98
2014,155
2015,295
2016,91
1998,0
1999,87
2000,30
2001,34
2002,144
2003,900
2004,579
2005,1.768
2006,403
2007,467
2008,131
2009,241
2010,437
2011,108
2012,392
2013,167
2014,251
2015,725
2016,1.322
2017,219
1998,0
1999,285
2000,29
2001,16
2002,120
2003,34
2004,20
2005,85
2006,49
2007,23
2008,54
2009,15
2010,102
2011,13
2012,63
2013,30
2014,37
2015,108
2016,430
2017,14
1998,0
1999,7
2000,181
2001,0
2002,14
2003,27
2004,22
2005,21
2006,10
2007,6
2008,4
2009,4
2010,110
2011,21
2012,30
2013,19
2014,34
2015,61
2016,81
2017,42
1998,0
1999,6
2000,40
2001,0
2002,11
2003,14
2004,23
2005,14
2006,2
2007,0
2008,7
2009,8
2010,22
2011,10
2012,11
2013,20
2014,27
2015,27
2016,66
2017,45
1998,0
1999,4
2000,12
2001,7
2002,18
2003,3
2004,44
2005,37
2006,0
2007,9
2008,0
2009,7
2010,57
2011,16
2012,59
2013,42
2014,70
2015,95
2016,154
2017,114
1998,58
1999,37
2000,59
2001,42
2002,149
2003,64
2004,340
2005,304
2006,78
2007,129
2008,48
2009,38
2010,94
2011,105
2012,183
2013,173
2014,319
2015,265
2016,502
2017,679
1998,638
1999,982
2000,426
2001,708
2002,772
2003,1.571
2004,4.436
2005,4.364
2006,615
2007,476
2008,971
2009,397
2010,1.432
2011,632
2012,661
2013,447
2014,825
2015,906
2016,1.579
2017,4.985
1998,6.815
1999,6.178
2000,5.484
2001,9.043
2002,15.664
2003,6.255
2004,12.812
2005,13.055
2006,7.575
2007,14.352
2008,4.435
2009,3.859
2010,18.13
2011,2.195
2012,6.964
2013,2.161
2014,8.555
2015,7.913
2016,4.863
2017,11.962
1998,6.237
1999,4.419
2000,2.569
2001,6.139
2002,5.609
2003,8.447
2004,9.471
2005,9.032
2006,8.372
2007,14.59
2008,6.294
2009,6.051
2010,10.81
2011,5.185
2012,6.87
2013,3.36
2014,6.787
2015,11.068
2016,3.953
2017,25.004
1998,3.665
1999,5.026
2000,4.313
2001,5.096
2002,5.189
2003,3.803
2004,4.726
2005,5.083
2006,5.964
2007,2.504
2008,6.653
2009,6.342
2010,3.843
2011,3.141
2012,3.714
2013,4.921
2014,6.448
2015,7.781
2016,5.281
2017,7.628
1998,1.861
1999,2.682
2000,3.366
2001,4.938
2002,7.996
2003,6.195
2004,9.842
2005,4.968
2006,2.883
2007,2.89
2008,2.403
2009,10.012
2010,4.417
2011,3.043
2012,6.156
2013,3.688
2014,7.767
2015,9.643
2016,7.879
2017,9.079
1998,1.008
1999,766
2000,1.698
2001,2.564
2002,3.118
2003,4.787
2004,5.508
2005,1.495
2006,1.417
2007,689
2008,684
2009,2.832
2010,1.612
2011,3.218
2012,1.812
2013,5.514
2014,4.828
2015,6.61
2016,3.3
1998,0
1999,26
2000,0
2001,11
2002,5
2003,70
2004,33
2005,178
2006,83
2007,69
2008,77
2009,115
2010,46
2011,11
2012,61
2013,38
2014,75
2015,42
2016,18
2017,23
1998,0
1999,2
2000,11
2001,6
2002,18
2003,3
2004,3
2005,15
2006,7
2007,7
2008,20
2009,9
2010,15
2011,5
2012,15
2013,9
2014,6
2015,15
2016,4
2017,8
1998,0
1999,1
2000,5
2001,0
2002,3
2003,0
2004,3
2005,13
2006,4
2007,1
2008,8
2009,2
2010,16
2011,6
2012,4
2013,3
2014,18
2015,7
2016,1
2017,2
1998,0
1999,3
2000,1
2001,0
2002,1
2003,0
2004,3
2005,2
2006,0
2007,0
2008,0
2009,1
2010,2
2011,2
2012,13
2013,6
2014,8
2015,11
2016,1
2017,1
1998,0
1999,0
2000,0
2001,4
2002,1
2003,0
2004,1
2005,0
2006,0
2007,0
2008,0
2009,0
2010,10
2011,0
2012,10
2013,3
2014,1
2015,6
2016,1
2017,1
1998,3
1999,1
2000,2
2001,0
2002,1
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,3
2011,2
2012,5
2013,3
2014,1
2015,0
2016,4
2017,0
1998,0
1999,1
2000,0
2001,8
2002,8
2003,6
2004,1
2005,0
2006,1
2007,1
2008,0
2009,3
2010,7
2011,6
2012,5
2013,1
2014,9
2015,3
2016,22
2017,2
1998,3
1999,4
2000,7
2001,34
2002,38
2003,14
2004,18
2005,0
2006,3
2007,8
2008,1
2009,4
2010,9
2011,12
2012,13
2013,3
2014,30
2015,5
2016,50
2017,3
1998,50
1999,14
2000,9
2001,98
2002,63
2003,81
2004,34
2005,13
2006,27
2007,22
2008,21
2009,28
2010,37
2011,55
2012,71
2013,25
2014,51
2015,48
2016,131
2017,30
1998,179
1999,48
2000,125
2001,279
2002,193
2003,381
2004,190
2005,155
2006,135
2007,111
2008,80
2009,117
2010,150
2011,200
2012,136
2013,58
2014,70
2015,121
2016,304
2017,123
1998,46
1999,38
2000,65
2001,294
2002,238
2003,538
2004,331
2005,280
2006,215
2007,256
2008,175
2009,428
2010,451
2011,359
2012,130
2013,95
2014,111
2015,206
2016,132
2017,101
1998,51
1999,40
2000,34
2001,70
2002,163
2003,288
2004,351
2005,159
2006,196
2007,133
2008,187
2009,270
2010,65
2011,179
2012,62
2013,78
2014,62
2015,122
2016,8
1998,0
1999,7
2000,49
2001,32
2002,47
2003,109
2004,88
2005,55
2006,78
2007,11
2008,35
2009,35
2010,18
2011,35
2012,31
2013,28
2014,86
2015,120
2016,113
2017,55
1998,0
1999,22
2000,67
2001,8
2002,24
2003,46
2004,42
2005,77
2006,60
2007,32
2008,38
2009,21
2010,46
2011,8
2012,40
2013,9
2014,52
2015,58
2016,31
2017,60
1998,0
1999,40
2000,52
2001,12
2002,18
2003,76
2004,83
2005,84
2006,56
2007,54
2008,43
2009,57
2010,22
2011,21
2012,55
2013,18
2014,42
2015,55
2016,63
2017,43
1998,0
1999,39
2000,51
2001,43
2002,84
2003,130
2004,68
2005,22
2006,49
2007,14
2008,62
2009,80
2010,71
2011,38
2012,38
2013,72
2014,38
2015,83
2016,167
2017,77
1998,0
1999,57
2000,43
2001,26
2002,65
2003,115
2004,9
2005,125
2006,90
2007,14
2008,41
2009,117
2010,39
2011,97
2012,86
2013,85
2014,109
2015,77
2016,72
2017,49
1998,36
1999,31
2000,53
2001,43
2002,115
2003,159
2004,147
2005,114
2006,62
2007,57
2008,17
2009,105
2010,55
2011,162
2012,77
2013,52
2014,112
2015,201
2016,238
2017,169
1998,59
1999,94
2000,98
2001,122
2002,172
2003,101
2004,148
2005,155
2006,139
2007,60
2008,87
2009,34
2010,196
2011,262
2012,111
2013,168
2014,215
2015,137
2016,504
2017,891
1998,42
1999,938
2000,849
2001,342
2002,1.593
2003,1.896
2004,1.237
2005,800
2006,844
2007,580
2008,205
2009,844
2010,733
2011,435
2012,522
2013,481
2014,646
2015,651
2016,1.01
2017,987
1998,61
1999,878
2000,381
2001,258
2002,1.071
2003,2.446
2004,1.36
2005,386
2006,866
2007,960
2008,413
2009,149
2010,270
2011,913
2012,459
2013,476
2014,443
2015,599
2016,1.371
2017,1.706
1998,61
1999,452
2000,658
2001,209
2002,399
2003,1.228
2004,666
2005,157
2006,327
2007,194
2008,78
2009,424
2010,230
2011,256
2012,145
2013,233
2014,411
2015,158
2016,193
2017,134
1998,143
1999,447
2000,85
2001,89
2002,425
2003,503
2004,388
2005,597
2006,60
2007,59
2008,39
2009,90
2010,183
2011,138
2012,142
2013,126
2014,68
2015,18
2016,275
2017,292
1998,82
1999,254
2000,159
2001,85
2002,165
2003,171
2004,151
2005,40
2006,6
2007,22
2008,62
2009,30
2010,37
2011,78
2012,54
2013,155
2014,78
2015,30
2016,45
1998,0
1999,102
2000,3
2001,7
2002,10
2003,188
2004,29
2005,221
2006,148
2007,156
2008,170
2009,256
2010,47
2011,49
2012,146
2013,55
2014,99
2015,109
2016,24
2017,52
1998,0
1999,13
2000,4
2001,2
2002,19
2003,35
2004,8
2005,33
2006,41
2007,21
2008,48
2009,28
2010,33
2011,25
2012,64
2013,29
2014,25
2015,55
2016,19
2017,23
1998,0
1999,27
2000,14
2001,0
2002,24
2003,9
2004,6
2005,45
2006,18
2007,4
2008,32
2009,15
2010,59
2011,39
2012,44
2013,40
2014,36
2015,33
2016,4
2017,7
1998,0
1999,2
2000,1
2001,2
2002,5
2003,7
2004,5
2005,1
2006,2
2007,1
2008,5
2009,3
2010,2
2011,22
2012,46
2013,11
2014,10
2015,30
2016,8
2017,9
1998,0
1999,6
2000,7
2001,5
2002,13
2003,1
2004,2
2005,1
2006,1
2007,0
2008,0
2009,0
2010,8
2011,1
2012,36
2013,9
2014,4
2015,17
2016,6
2017,13
1998,1
1999,7
2000,4
2001,2
2002,1
2003,2
2004,4
2005,3
2006,0
2007,1
2008,0
2009,1
2010,1
2011,4
2012,12
2013,12
2014,3
2015,3
2016,4
2017,5
1998,5
1999,2
2000,0
2001,6
2002,8
2003,5
2004,13
2005,1
2006,1
2007,3
2008,0
2009,1
2010,7
2011,2
2012,11
2013,4
2014,11
2015,13
2016,17
2017,2
1998,12
1999,3
2000,31
2001,27
2002,37
2003,26
2004,41
2005,10
2006,8
2007,20
2008,2
2009,10
2010,29
2011,27
2012,27
2013,14
2014,23
2015,21
2016,42
2017,20
1998,177
1999,64
2000,130
2001,298
2002,374
2003,510
2004,192
2005,154
2006,147
2007,164
2008,92
2009,164
2010,179
2011,243
2012,192
2013,143
2014,63
2015,116
2016,171
2017,69
1998,372
1999,180
2000,411
2001,461
2002,638
2003,859
2004,545
2005,408
2006,310
2007,702
2008,274
2009,254
2010,347
2011,461
2012,222
2013,161
2014,174
2015,194
2016,319
2017,256
1998,141
1999,41
2000,64
2001,208
2002,521
2003,560
2004,465
2005,452
2006,385
2007,359
2008,363
2009,486
2010,831
2011,352
2012,181
2013,110
2014,111
2015,315
2016,191
2017,66
1998,59
1999,16
2000,22
2001,62
2002,259
2003,229
2004,373
2005,191
2006,207
2007,200
2008,203
2009,351
2010,117
2011,364
2012,108
2013,141
2014,101
2015,176
2016,161
1998,0
1999,21
2000,5
2001,29
2002,33
2003,86
2004,42
2005,94
2006,133
2007,123
2008,61
2009,79
2010,99
2011,39
2012,80
2013,72
2014,79
2015,92
2016,94
2017,85
1998,0
1999,22
2000,12
2001,0
2002,160
2003,3
2004,20
2005,26
2006,23
2007,11
2008,21
2009,19
2010,54
2011,11
2012,31
2013,68
2014,14
2015,38
2016,97
2017,24
1998,0
1999,4
2000,14
2001,2
2002,63
2003,15
2004,27
2005,13
2006,18
2007,31
2008,4
2009,17
2010,47
2011,15
2012,71
2013,14
2014,88
2015,35
2016,53
2017,25
1998,0
1999,10
2000,15
2001,1
2002,87
2003,22
2004,10
2005,3
2006,1
2007,9
2008,7
2009,8
2010,56
2011,16
2012,119
2013,34
2014,63
2015,50
2016,35
2017,25
1998,0
1999,8
2000,25
2001,36
2002,84
2003,13
2004,80
2005,22
2006,0
2007,52
2008,12
2009,12
2010,231
2011,77
2012,334
2013,40
2014,138
2015,66
2016,60
2017,36
1998,46
1999,47
2000,18
2001,87
2002,161
2003,88
2004,239
2005,171
2006,40
2007,303
2008,33
2009,56
2010,208
2011,462
2012,834
2013,263
2014,373
2015,283
2016,153
2017,193
1998,189
1999,123
2000,75
2001,337
2002,534
2003,407
2004,564
2005,445
2006,150
2007,919
2008,97
2009,302
2010,1.696
2011,864
2012,1.755
2013,361
2014,1.177
2015,690
2016,754
2017,643
1998,711
1999,499
2000,415
2001,1.133
2002,2.28
2003,864
2004,1.002
2005,943
2006,911
2007,3.551
2008,290
2009,790
2010,4.035
2011,1.958
2012,3.614
2013,1.015
2014,2.265
2015,2.057
2016,1.647
2017,1.572
1998,1.991
1999,872
2000,1.099
2001,2.401
2002,2.475
2003,3.399
2004,2.662
2005,3.136
2006,1.618
2007,4.078
2008,1.472
2009,1.709
2010,5.392
2011,4.402
2012,4.479
2013,2.311
2014,2.536
2015,5.828
2016,1.394
2017,3.422
1998,2.586
1999,1.438
2000,2.558
2001,3.742
2002,2.757
2003,2.332
2004,2.144
2005,3.263
2006,1.443
2007,2.331
2008,1.83
2009,913
2010,3.863
2011,1.484
2012,2.506
2013,1.269
2014,1.788
2015,4.068
2016,2.598
2017,3.004
1998,424
1999,334
2000,450
2001,1.484
2002,1.174
2003,1.248
2004,1.798
2005,1.599
2006,740
2007,939
2008,594
2009,1.336
2010,1.417
2011,825
2012,447
2013,640
2014,717
2015,897
2016,1.126
2017,449
1998,119
1999,74
2000,79
2001,230
2002,373
2003,459
2004,788
2005,486
2006,339
2007,317
2008,329
2009,570
2010,357
2011,362
2012,334
2013,468
2014,346
2015,626
2016,374
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,1
2005,5
2006,12
2007,0
2008,1
2009,3
2010,13
2011,10
2012,12
2013,9
2014,35
2015,97
2016,9
2017,15
1998,0
1999,0
2000,1
2001,3
2002,1
2003,10
2004,8
2005,4
2006,7
2007,15
2008,2
2009,5
2010,73
2011,36
2012,11
2013,12
2014,116
2015,36
2016,16
2017,34
1998,0
1999,0
2000,0
2001,0
2002,1
2003,23
2004,4
2005,7
2006,8
2007,27
2008,2
2009,5
2010,10
2011,7
2012,20
2013,9
2014,38
2015,23
2016,16
2017,10
1998,0
1999,1
2000,2
2001,2
2002,8
2003,11
2004,3
2005,1
2006,8
2007,9
2008,2
2009,1
2010,10
2011,12
2012,12
2013,9
2014,25
2015,24
2016,45
2017,12
1998,0
1999,7
2000,5
2001,4
2002,4
2003,1
2004,0
2005,11
2006,4
2007,2
2008,0
2009,37
2010,6
2011,17
2012,18
2013,16
2014,20
2015,21
2016,30
2017,15
1998,3
1999,8
2000,14
2001,13
2002,13
2003,13
2004,19
2005,16
2006,19
2007,3
2008,4
2009,33
2010,7
2011,33
2012,14
2013,17
2014,54
2015,33
2016,37
2017,68
1998,21
1999,14
2000,22
2001,57
2002,17
2003,42
2004,23
2005,20
2006,54
2007,15
2008,14
2009,56
2010,55
2011,121
2012,50
2013,58
2014,62
2015,74
2016,131
2017,70
1998,21
1999,88
2000,34
2001,129
2002,184
2003,191
2004,74
2005,98
2006,79
2007,189
2008,19
2009,91
2010,316
2011,250
2012,72
2013,74
2014,199
2015,158
2016,241
2017,164
1998,44
1999,192
2000,16
2001,60
2002,45
2003,166
2004,205
2005,46
2006,197
2007,223
2008,132
2009,90
2010,353
2011,510
2012,172
2013,117
2014,318
2015,85
2016,195
2017,728
1998,6
1999,30
2000,25
2001,33
2002,313
2003,81
2004,26
2005,116
2006,12
2007,137
2008,42
2009,18
2010,35
2011,114
2012,163
2013,44
2014,500
2015,96
2016,30
2017,238
1998,6
1999,16
2000,2
2001,4
2002,11
2003,5
2004,49
2005,12
2006,1
2007,1
2008,0
2009,27
2010,23
2011,20
2012,13
2013,28
2014,36
2015,6
2016,19
2017,43
1998,1
1999,0
2000,0
2001,2
2002,8
2003,10
2004,9
2005,2
2006,0
2007,0
2008,6
2009,1
2010,10
2011,3
2012,18
2013,12
2014,25
2015,11
2016,5
1998,0
1999,32
2000,1
2001,2
2002,4
2003,113
2004,44
2005,153
2006,93
2007,63
2008,70
2009,110
2010,32
2011,15
2012,72
2013,25
2014,34
2015,45
2016,15
2017,28
1998,0
1999,11
2000,7
2001,0
2002,18
2003,9
2004,5
2005,42
2006,21
2007,9
2008,25
2009,8
2010,12
2011,5
2012,13
2013,24
2014,8
2015,15
2016,2
2017,10
1998,0
1999,9
2000,11
2001,0
2002,3
2003,1
2004,1
2005,15
2006,8
2007,7
2008,3
2009,2
2010,23
2011,3
2012,2
2013,6
2014,6
2015,3
2016,1
2017,3
1998,0
1999,21
2000,16
2001,10
2002,0
2003,2
2004,3
2005,2
2006,2
2007,1
2008,0
2009,1
2010,7
2011,0
2012,4
2013,7
2014,2
2015,4
2016,0
2017,6
1998,0
1999,1
2000,3
2001,56
2002,6
2003,0
2004,2
2005,3
2006,0
2007,2
2008,0
2009,0
2010,3
2011,0
2012,14
2013,2
2014,2
2015,4
2016,1
2017,2
1998,1
1999,4
2000,8
2001,13
2002,1
2003,1
2004,2
2005,0
2006,0
2007,0
2008,0
2009,0
2010,1
2011,1
2012,5
2013,1
2014,2
2015,5
2016,4
2017,3
1998,5
1999,7
2000,5
2001,25
2002,7
2003,7
2004,5
2005,2
2006,0
2007,7
2008,0
2009,0
2010,7
2011,0
2012,3
2013,0
2014,2
2015,3
2016,13
2017,4
1998,4
1999,40
2000,29
2001,55
2002,48
2003,97
2004,15
2005,9
2006,13
2007,26
2008,2
2009,1
2010,24
2011,10
2012,23
2013,2
2014,21
2015,16
2016,24
2017,21
1998,51
1999,35
2000,17
2001,45
2002,52
2003,112
2004,47
2005,37
2006,50
2007,50
2008,17
2009,29
2010,50
2011,22
2012,41
2013,7
2014,30
2015,36
2016,44
2017,48
1998,55
1999,40
2000,28
2001,34
2002,140
2003,276
2004,89
2005,168
2006,85
2007,88
2008,53
2009,84
2010,111
2011,76
2012,74
2013,71
2014,75
2015,129
2016,129
2017,85
1998,41
1999,62
2000,9
2001,41
2002,178
2003,366
2004,164
2005,249
2006,148
2007,130
2008,82
2009,172
2010,212
2011,144
2012,69
2013,77
2014,124
2015,105
2016,93
2017,89
1998,19
1999,29
2000,11
2001,20
2002,222
2003,278
2004,284
2005,149
2006,101
2007,80
2008,126
2009,221
2010,54
2011,125
2012,75
2013,46
2014,47
2015,74
2016,75
1998,0
1999,63
2000,126
2001,12
2002,265
2003,58
2004,70
2005,152
2006,46
2007,37
2008,42
2009,65
2010,22
2011,33
2012,61
2013,22
2014,53
2015,51
2016,68
2017,28
1998,0
1999,35
2000,43
2001,32
2002,38
2003,13
2004,52
2005,36
2006,34
2007,24
2008,30
2009,15
2010,23
2011,26
2012,39
2013,43
2014,37
2015,41
2016,55
2017,31
1998,0
1999,38
2000,51
2001,11
2002,26
2003,27
2004,149
2005,153
2006,76
2007,8
2008,38
2009,41
2010,21
2011,31
2012,50
2013,44
2014,58
2015,108
2016,30
2017,34
1998,0
1999,12
2000,1
2001,3
2002,6
2003,30
2004,98
2005,14
2006,59
2007,4
2008,110
2009,145
2010,72
2011,41
2012,41
2013,47
2014,60
2015,175
2016,32
2017,51
1998,0
1999,13
2000,4
2001,4
2002,7
2003,18
2004,4
2005,24
2006,24
2007,3
2008,20
2009,177
2010,9
2011,20
2012,112
2013,14
2014,63
2015,169
2016,37
2017,43
1998,0
1999,9
2000,0
2001,1
2002,4
2003,14
2004,52
2005,50
2006,7
2007,10
2008,16
2009,30
2010,4
2011,12
2012,86
2013,10
2014,62
2015,68
2016,261
2017,103
1998,0
1999,10
2000,6
2001,6
2002,93
2003,55
2004,156
2005,47
2006,45
2007,7
2008,25
2009,47
2010,34
2011,45
2012,134
2013,42
2014,209
2015,60
2016,865
2017,885
1998,9
1999,24
2000,18
2001,36
2002,824
2003,1.419
2004,403
2005,120
2006,642
2007,258
2008,56
2009,1.057
2010,267
2011,116
2012,410
2013,156
2014,1.168
2015,414
2016,1.111
2017,819
1998,60
1999,19
2000,27
2001,2
2002,226
2003,828
2004,431
2005,189
2006,444
2007,573
2008,97
2009,39
2010,250
2011,449
2012,113
2013,290
2014,224
2015,222
2016,628
2017,343
1998,169
1999,56
2000,10
2001,13
2002,10
2003,360
2004,680
2005,83
2006,160
2007,21
2008,135
2009,148
2010,95
2011,74
2012,91
2013,104
2014,110
2015,70
2016,93
2017,101
1998,28
1999,103
2000,18
2001,49
2002,117
2003,121
2004,161
2005,227
2006,27
2007,13
2008,14
2009,4
2010,90
2011,117
2012,74
2013,110
2014,68
2015,30
2016,105
2017,137
1998,605
1999,1.11
2000,80
2001,80
2002,45
2003,98
2004,99
2005,35
2006,15
2007,25
2008,32
2009,15
2010,103
2011,69
2012,38
2013,62
2014,31
2015,42
2016,79
1998,0
1999,1
2000,0
2001,0
2002,6
2003,62
2004,30
2005,99
2006,16
2007,33
2008,4
2009,17
2010,18
2011,1
2012,2
2013,7
2014,12
2015,30
2016,93
2017,44
1998,0
1999,1
2000,6
2001,2
2002,8
2003,10
2004,12
2005,42
2006,17
2007,8
2008,7
2009,1
2010,9
2011,2
2012,9
2013,8
2014,5
2015,22
2016,88
2017,10
1998,0
1999,8
2000,9
2001,0
2002,1
2003,13
2004,20
2005,17
2006,15
2007,20
2008,2
2009,12
2010,11
2011,6
2012,6
2013,23
2014,13
2015,15
2016,25
2017,21
1998,0
1999,3
2000,0
2001,0
2002,3
2003,10
2004,14
2005,7
2006,0
2007,0
2008,8
2009,3
2010,19
2011,8
2012,12
2013,9
2014,15
2015,15
2016,59
2017,19
1998,0
1999,3
2000,13
2001,5
2002,10
2003,21
2004,9
2005,38
2006,7
2007,4
2008,1
2009,6
2010,41
2011,54
2012,22
2013,9
2014,28
2015,13
2016,44
2017,31
1998,26
1999,10
2000,54
2001,31
2002,141
2003,74
2004,151
2005,153
2006,40
2007,71
2008,11
2009,13
2010,44
2011,130
2012,32
2013,22
2014,92
2015,119
2016,170
2017,192
1998,365
1999,135
2000,117
2001,74
2002,539
2003,516
2004,1.233
2005,798
2006,314
2007,187
2008,138
2009,110
2010,747
2011,293
2012,205
2013,117
2014,192
2015,423
2016,969
2017,1.28
1998,2.254
1999,1.976
2000,2.197
2001,2.132
2002,3.465
2003,7.06
2004,6.893
2005,6.672
2006,3.124
2007,4.786
2008,1.251
2009,484
2010,4.388
2011,1.161
2012,2.209
2013,885
2014,3.038
2015,3.762
2016,3.675
2017,4.287
1998,3.753
1999,3.062
2000,2.438
2001,1.927
2002,7.067
2003,6.89
2004,13.05
2005,13.972
2006,9.92
2007,6.832
2008,3.726
2009,1.869
2010,4.893
2011,1.782
2012,2.471
2013,1.776
2014,2.8
2015,6.129
2016,4.208
2017,5.638
1998,483
1999,1.884
2000,644
2001,796
2002,3.554
2003,4.962
2004,3.094
2005,2.559
2006,1.148
2007,2.023
2008,1.482
2009,1.444
2010,1.307
2011,822
2012,1.229
2013,555
2014,1.063
2015,2.598
2016,1.844
2017,2.19
1998,3
1999,41
2000,13
2001,91
2002,639
2003,526
2004,452
2005,465
2006,253
2007,53
2008,78
2009,128
2010,238
2011,245
2012,174
2013,108
2014,202
2015,1.002
2016,401
2017,372
1998,33
1999,0
2000,7
2001,1
2002,91
2003,214
2004,208
2005,36
2006,4
2007,6
2008,2
2009,9
2010,158
2011,37
2012,50
2013,143
2014,144
2015,282
2016,148
1998,0
1999,15
2000,18
2001,101
2002,302
2003,547
2004,355
2005,106
2006,70
2007,194
2008,245
2009,45
2010,351
2011,225
2012,217
2013,397
2014,355
2015,330
2016,1.754
2017,108
1998,0
1999,20
2000,57
2001,646
2002,476
2003,767
2004,259
2005,105
2006,283
2007,796
2008,138
2009,153
2010,470
2011,112
2012,130
2013,62
2014,226
2015,418
2016,171
