year,number
2008,4
2009,20
2010,1
2011,16
2012,19
2013,9
2014,18
2015,40
2016,37
2017,33
1998,20
1999,4
2000,19
2001,95
2002,73
2003,88
2004,67
2005,97
2006,112
2007,61
2008,83
2009,188
2010,63
2011,128
2012,168
2013,85
2014,137
2015,192
2016,142
2017,95
1998,42
1999,25
2000,42
2001,194
2002,557
2003,355
2004,412
2005,335
2006,405
2007,162
2008,395
2009,765
2010,265
2011,304
2012,475
2013,385
2014,480
2015,827
2016,793
2017,468
1998,131
1999,26
2000,157
2001,406
2002,1.096
2003,750
2004,949
2005,685
2006,207
2007,198
2008,266
2009,1.019
2010,339
2011,282
2012,969
2013,341
2014,484
2015,1.3
2016,1.161
2017,858
1998,84
1999,41
2000,30
2001,593
2002,200
2003,411
2004,777
2005,38
2006,74
2007,14
2008,32
2009,123
2010,43
2011,360
2012,422
2013,148
2014,354
2015,269
2016,491
1998,0
1999,3
2000,7
2001,3
2002,17
2003,158
2004,123
2005,44
2006,20
2007,37
2008,16
2009,9
2010,82
2011,53
2012,6
2013,37
2014,46
2015,35
2016,770
2017,65
1998,0
1999,43
2000,62
2001,8
2002,2
2003,62
2004,92
2005,6
2006,10
2007,92
2008,32
2009,3
2010,81
2011,30
2012,25
2013,16
2014,49
2015,107
2016,275
2017,52
1998,0
1999,7
2000,69
2001,6
2002,5
2003,64
2004,6
2005,12
2006,20
2007,6
2008,10
2009,11
2010,116
2011,49
2012,17
2013,49
2014,50
2015,46
2016,140
2017,45
1998,0
1999,2
2000,18
2001,1
2002,2
2003,11
2004,4
2005,5
2006,5
2007,0
2008,13
2009,1
2010,11
2011,5
2012,3
2013,20
2014,25
2015,24
2016,22
2017,20
1998,0
1999,0
2000,51
2001,0
2002,8
2003,2
2004,0
2005,8
2006,4
2007,0
2008,1
2009,3
2010,13
2011,6
2012,12
2013,19
2014,12
2015,10
2016,30
2017,40
1998,2
1999,7
2000,6
2001,5
2002,5
2003,3
2004,12
2005,78
2006,9
2007,23
2008,7
2009,13
2010,9
2011,22
2012,45
2013,56
2014,74
2015,33
2016,90
2017,119
1998,71
1999,11
2000,39
2001,9
2002,146
2003,180
2004,177
2005,676
2006,123
2007,116
2008,108
2009,199
2010,640
2011,271
2012,234
2013,248
2014,202
2015,356
2016,1.137
2017,1.975
1998,321
1999,259
2000,180
2001,501
2002,741
2003,1.867
2004,1.207
2005,2.316
2006,1.422
2007,2.241
2008,861
2009,1.321
2010,3.727
2011,1.243
2012,3.011
2013,1.276
2014,3.852
2015,4.564
2016,3.611
2017,6.316
1998,267
1999,216
2000,189
2001,166
2002,928
2003,1.401
2004,911
2005,2.812
2006,2.218
2007,1.36
2008,998
2009,3.091
2010,2.781
2011,1.295
2012,2.392
2013,1.739
2014,3.057
2015,5.882
2016,3.119
2017,4.033
1998,83
1999,479
2000,145
2001,332
2002,695
2003,725
2004,710
2005,545
2006,721
2007,215
2008,632
2009,2.189
2010,889
2011,694
2012,1.238
2013,1.202
2014,952
2015,2.494
2016,2.105
2017,1.581
1998,6
1999,32
2000,27
2001,244
2002,259
2003,169
2004,209
2005,261
2006,59
2007,90
2008,39
2009,973
2010,354
2011,399
2012,682
2013,220
2014,676
2015,1.054
2016,591
2017,552
1998,196
1999,2
2000,60
2001,22
2002,44
2003,147
2004,53
2005,17
2006,23
2007,7
2008,0
2009,102
2010,123
2011,121
2012,80
2013,236
2014,293
2015,565
2016,133
1998,0
1999,114
2000,31
2001,24
2002,125
2003,439
2004,158
2005,303
2006,225
2007,373
2008,314
2009,177
2010,297
2011,101
2012,179
2013,125
2014,132
2015,256
2016,285
2017,154
1998,0
1999,157
2000,32
2001,101
2002,204
2003,223
2004,122
2005,143
2006,277
2007,113
2008,235
2009,117
2010,206
2011,156
2012,200
2013,231
2014,107
2015,143
2016,418
2017,100
1998,0
1999,83
2000,65
2001,4
2002,146
2003,274
2004,115
2005,158
2006,199
2007,141
2008,135
2009,249
2010,156
2011,90
2012,404
2013,363
2014,148
2015,229
2016,281
2017,163
1998,0
1999,55
2000,23
2001,26
2002,110
2003,376
2004,89
2005,76
2006,60
2007,64
2008,151
2009,40
2010,103
2011,149
2012,396
2013,108
2014,183
2015,190
2016,217
2017,94
1998,0
1999,76
2000,71
2001,85
2002,166
2003,106
2004,124
2005,120
2006,43
2007,161
2008,56
2009,34
2010,198
2011,189
2012,326
2013,141
2014,224
2015,144
2016,259
2017,121
